Brand,Model,image
Aroma,NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,https://via.placeholder.com/200
Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",https://via.placeholder.com/200
Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,https://via.placeholder.com/200
Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
OnePlus,"Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...",https://via.placeholder.com/200
Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",https://via.placeholder.com/200
boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,https://via.placeholder.com/200
MASOORI,M19 / M10 / T2 TWS Bluetooth 5.0 Wireless Touch...,https://via.placeholder.com/200
Dozokil,High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,https://via.placeholder.com/200
Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",https://via.placeholder.com/200
boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,https://via.placeholder.com/200
boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",https://via.placeholder.com/200
Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",https://via.placeholder.com/200
Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",https://via.placeholder.com/200
Noise,"Buds VS404 with 50 Hours Playtime, ENC with Quad ...",https://via.placeholder.com/200
Portronics,SoundDrum 1 10 W Bluetooth Speaker,https://via.placeholder.com/200
Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,https://via.placeholder.com/200
Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",https://via.placeholder.com/200
Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,https://via.placeholder.com/200
Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,https://via.placeholder.com/200
ORAIMO,Shark 3 Deep Bass Neckband Bluetooth Headset,https://via.placeholder.com/200
Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",https://via.placeholder.com/200
Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,https://via.placeholder.com/200
realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,https://via.placeholder.com/200
realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,https://via.placeholder.com/200
PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",https://via.placeholder.com/200
Fire-Boltt,Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,https://via.placeholder.com/200
boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",https://via.placeholder.com/200
OPPO,Enco Buds 2 with 28 hours Battery life & Deep Nois...,https://via.placeholder.com/200
Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",https://via.placeholder.com/200
Chitransh,i12 Bluetooth Headset,https://via.placeholder.com/200
Seashot,M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,https://via.placeholder.com/200
divinestar,MUisc dj Advance Design New Arrival TG-162 P...,https://via.placeholder.com/200
Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",https://via.placeholder.com/200
TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,https://via.placeholder.com/200
boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,https://via.placeholder.com/200
U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,https://via.placeholder.com/200
Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,https://via.placeholder.com/200
Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,https://via.placeholder.com/200
Aroma,NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,https://via.placeholder.com/200
Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,https://via.placeholder.com/200
Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,https://via.placeholder.com/200
Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",https://via.placeholder.com/200
OnePlus,"Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...",https://via.placeholder.com/200
boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,https://via.placeholder.com/200
MASOORI,M19 / M10 / T2 TWS Bluetooth 5.0 Wireless Touch...,https://via.placeholder.com/200
Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",https://via.placeholder.com/200
Dozokil,High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,https://via.placeholder.com/200
boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,https://via.placeholder.com/200
boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",https://via.placeholder.com/200
Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",https://via.placeholder.com/200
Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",https://via.placeholder.com/200
Noise,"Buds VS404 with 50 Hours Playtime, ENC with Quad ...",https://via.placeholder.com/200
Portronics,SoundDrum 1 10 W Bluetooth Speaker,https://via.placeholder.com/200
Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",https://via.placeholder.com/200
Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,https://via.placeholder.com/200
